id,title,description,availability,condition,price,sale_price,link,image_link,brand
1600020,"משחת שיניים טום וגרי טעם מסטיק 50 מ""ל","משחת שיניים טום וגרי טעם מסטיק 50 מ""ל",in stock,new,9.90 ILS,,https://aroam.co.il/care/?product=1600020,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/%D7%9E%D7%A9%D7%97%D7%AA%20%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%20%D7%98%D7%95%D7%9D%20%D7%95%D7%92%D7%A8%D7%99%20%D7%98%D7%A2%D7%9D%20%D7%9E%D7%A1%D7%98%D7%99%D7%A7%2050%20%D7%9E%22%D7%9C.jpg,טום וגרי
1600271,"משחת שיניים סנסודיין קלין אנד פרש 75 מ""ל","משחת שיניים סנסודיין קלין אנד פרש 75 מ""ל",in stock,new,17.90 ILS,,https://aroam.co.il/care/?product=1600271,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/%D7%9E%D7%A9%D7%97%D7%AA%20%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%20%D7%A1%D7%A0%D7%A1%D7%95%D7%93%D7%99%D7%99%D7%9F%20%D7%A7%D7%9C%D7%99%D7%9F%20%D7%90%D7%A0%D7%93%20%D7%A4%D7%A8%D7%A9%2075%20%D7%9E%22%D7%9C.jpg,סנסודיין
1600688,"משחת שיניים קולגייט אדומה 100 מ""ל","משחת שיניים קולגייט אדומה 100 מ""ל",in stock,new,10.90 ILS,,https://aroam.co.il/care/?product=1600688,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/%D7%9E%D7%A9%D7%97%D7%AA%20%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%20%D7%A7%D7%95%D7%9C%D7%92%D7%99%D7%99%D7%98%20%D7%90%D7%93%D7%95%D7%9E%D7%94%20100%20%D7%9E%22%D7%9C.jpg,קולגייט
1600157,"שטיפת פה ליסטרין קולמינט 500 מ""ל",מגוון טעמים,in stock,new,17.90 ILS,,https://aroam.co.il/care/?product=1600157,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/%D7%A9%D7%98%D7%99%D7%A4%D7%AA%20%D7%A4%D7%94%20%D7%9C%D7%99%D7%A1%D7%98%D7%A8%D7%99%D7%9F%20%D7%A7%D7%95%D7%9C%D7%9E%D7%99%D7%A0%D7%98%20500%20%D7%9E%22%D7%9C.jpg,ליסטרין
3101704,LENOR כדוריות הבושם ניחוח פרש 150 גרם,מגוון ריחות,in stock,new,19.90 ILS,,https://aroam.co.il/care/?product=3101704,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/LENOR%20%D7%9B%D7%93%D7%95%D7%A8%D7%99%D7%95%D7%AA%20%D7%94%D7%91%D7%95%D7%A9%D7%9D%20%D7%A0%D7%99%D7%97%D7%95%D7%97%20%D7%A4%D7%A8%D7%A9%20150%20%D7%92%D7%A8%D7%9D.jpg,LENOR
3101671,אריאל קפסולות ג'ל לכביסה הסרת כתמים 44 יחידות,אריאל קפסולות ג'ל לכביסה הסרת כתמים 44 יחידות,in stock,new,62.90 ILS,,https://aroam.co.il/care/?product=3101671,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/%D7%90%D7%A8%D7%99%D7%90%D7%9C%20%D7%A7%D7%A4%D7%A1%D7%95%D7%9C%D7%95%D7%AA%20%D7%92%27%D7%9C%20%D7%9C%D7%9B%D7%91%D7%99%D7%A1%D7%94%20%D7%94%D7%A1%D7%A8%D7%AA%20%D7%9B%D7%AA%D7%9E%D7%99%D7%9D%2044%20%D7%99%D7%97%D7%99%D7%93%D7%95%D7%AA.jpg,אריאל
3101674,אריאל קפסולות ג'ל לכביסה 28 יחידות,אריאל קפסולות ג'ל לכביסה 28 יחידות,in stock,new,44.90 ILS,,https://aroam.co.il/care/?product=3101674,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/%D7%90%D7%A8%D7%99%D7%90%D7%9C%20%D7%A7%D7%A4%D7%A1%D7%95%D7%9C%D7%95%D7%AA%20%D7%92%27%D7%9C%20%D7%9C%D7%9B%D7%91%D7%99%D7%A1%D7%94%2028%20%D7%99%D7%97%D7%99%D7%93%D7%95%D7%AA%20.jpg,אריאל
3101673,אריאל קפסולות ג'ל לכביסה לבנה 28 יחידות,אריאל קפסולות ג'ל לכביסה לבנה 28 יחידות,in stock,new,44.90 ILS,,https://aroam.co.il/care/?product=3101673,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/%D7%90%D7%A8%D7%99%D7%90%D7%9C%20%D7%A7%D7%A4%D7%A1%D7%95%D7%9C%D7%95%D7%AA%20%D7%92%27%D7%9C%20%D7%9C%D7%9B%D7%91%D7%99%D7%A1%D7%94%20%D7%9C%D7%91%D7%A0%D7%94%2028%20%D7%99%D7%97%D7%99%D7%93%D7%95%D7%AA.jpg,אריאל
3101527,פרסיל קפסולות ג'ל לכביסה קולור 44 יחידות,פרסיל קפסולות ג'ל לכביסה קולור 44 יחידות,in stock,new,44.90 ILS,,https://aroam.co.il/care/?product=3101527,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/%D7%A4%D7%A8%D7%A1%D7%99%D7%9C%20%D7%A7%D7%A4%D7%A1%D7%95%D7%9C%D7%95%D7%AA%20%D7%92%27%D7%9C%20%D7%9C%D7%9B%D7%91%D7%99%D7%A1%D7%94%20%D7%A7%D7%95%D7%9C%D7%95%D7%A8%2044%20%D7%99%D7%97%D7%99%D7%93%D7%95%D7%AA.jpg,פרסיל
3101686,פרסיל קפסולות ג'ל לכביסה דיסקס אקספרט הסרת כתמים קשים 20 יחידות,פרסיל קפסולות ג'ל לכביסה דיסקס אקספרט הסרת כתמים קשים 20 יחידות,in stock,new,31.90 ILS,,https://aroam.co.il/care/?product=3101686,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/%D7%A4%D7%A8%D7%A1%D7%99%D7%9C%20%D7%A7%D7%A4%D7%A1%D7%95%D7%9C%D7%95%D7%AA%20%D7%92%27%D7%9C%20%D7%9C%D7%9B%D7%91%D7%99%D7%A1%D7%94%20%D7%93%D7%99%D7%A1%D7%A7%D7%A1%20%D7%90%D7%A7%D7%A1%D7%A4%D7%A8%D7%98%20%D7%94%D7%A1%D7%A8%D7%AA%20%D7%9B%D7%AA%D7%9E%D7%99%D7%9D%20%D7%A7%D7%A9%D7%99%D7%9D%2020%20%D7%99%D7%97%D7%99%D7%93%D7%95%D7%AA.jpg,פרסיל
